id,code,day,follower,new_follower,discussion,new_discussion,trade,new_trade,open,close
5595136,600175.XSHG,2019-04-26,27350,0,4567,0,96,0,4.08,4.66
5591535,600175.XSHG,2019-04-25,27350,1061,4567,331,96,2,4.55,4.24
5587934,600175.XSHG,2019-04-24,26289,939,4236,458,94,0,3.95,4.57
5584333,600175.XSHG,2019-04-23,25350,3220,3778,168,94,2,3.8,4.15
5580397,600175.XSHG,2019-04-22,24705,2575,3775,165,92,0,3.77,3.77
5576796,600175.XSHG,2019-04-19,22130,710,3610,1,92,0,3.43,3.43
5573195,600175.XSHG,2019-04-18,21420,131,3609,-2,92,0,2.81,3.12
5569594,600175.XSHG,2019-04-17,21289,27,3611,0,92,0,2.72,2.84
5565993,600175.XSHG,2019-04-16,21262,8,3611,0,92,0,2.61,2.72
5562392,600175.XSHG,2019-04-15,21254,33,3611,9,92,0,2.69,2.65
5558791,600175.XSHG,2019-04-12,21221,0,3602,0,92,0,2.81,2.72
5555190,600175.XSHG,2019-04-11,21221,28,3602,74,92,0,2.7,2.81
5551589,600175.XSHG,2019-04-10,21193,3,3528,-37,92,0,2.68,2.71
5547988,600175.XSHG,2019-04-09,21190,15,3565,17,92,0,2.7,2.75
5544387,600175.XSHG,2019-04-08,21175,56,3548,4,92,0,2.88,2.79
5540786,600175.XSHG,2019-04-04,21119,3,3544,0,92,0,2.8,2.85
5537185,600175.XSHG,2019-04-03,21116,6,3544,0,92,0,2.74,2.8
5530014,600175.XSHG,2019-04-02,21110,2,3544,0,92,0,2.75,2.76
5522843,600175.XSHG,2019-04-01,21108,3,3544,1569,92,29,2.64,2.74
5526425,600175.XSHG,2019-03-29,21105,-4,1975,50,63,2,2.54,2.63
5519243,600175.XSHG,2019-03-28,21109,1,1925,3,61,0,2.6,2.54
5533596,600175.XSHG,2019-03-27,21108,-18,1922,761,61,22,2.67,2.62
5515646,600175.XSHG,2019-03-26,21126,0,1161,0,39,0,2.78,2.64
5512051,600175.XSHG,2019-03-25,21126,7,1161,204,39,3,2.77,2.76
5508456,600175.XSHG,2019-03-22,21119,0,957,0,36,0,2.89,2.85
5504862,600175.XSHG,2019-03-21,21119,0,957,0,36,0,2.89,2.9
5501278,600175.XSHG,2019-03-20,21119,54,957,41,36,1,2.97,2.93
5497707,600175.XSHG,2019-03-19,21065,51,916,46,35,7,2.83,3.0
5494136,600175.XSHG,2019-03-18,21014,26,870,-14,28,0,2.74,2.88
5490565,600175.XSHG,2019-03-15,20988,-9,884,-7,28,0,2.73,2.75
5486994,600175.XSHG,2019-03-14,20997,2,891,-98,28,0,2.83,2.72
5483423,600175.XSHG,2019-03-13,20995,19,989,94,28,1,2.93,2.85
5479852,600175.XSHG,2019-03-12,20976,31,895,-17,27,0,2.88,2.93
5476281,600175.XSHG,2019-03-11,20945,27,912,-1,27,0,2.73,2.86
5472710,600175.XSHG,2019-03-08,20918,25,913,1,27,0,2.94,2.75
5469139,600175.XSHG,2019-03-07,20893,81,912,9,27,0,2.86,3.05
5465568,600175.XSHG,2019-03-06,20812,51,903,-1,27,0,2.74,2.88
5461997,600175.XSHG,2019-03-05,20761,2,904,4,27,0,2.6,2.72
5458426,600175.XSHG,2019-03-04,20759,29,900,6,27,0,2.57,2.63
5429852,600175.XSHG,2019-03-01,20730,38,894,9,27,0,2.6,2.61
5426263,600175.XSHG,2019-02-28,20692,90,885,16,27,0,2.68,2.67
5447716,600175.XSHG,2019-02-27,20602,35,869,7,27,0,2.51,2.61
5444145,600175.XSHG,2019-02-26,20567,11,862,2,27,0,2.49,2.54
5440574,600175.XSHG,2019-02-25,20556,22,860,1,27,0,2.42,2.5
5437003,600175.XSHG,2019-02-22,20534,-1,859,0,27,1,2.31,2.37
5408393,600175.XSHG,2019-02-21,20535,2,859,2,26,0,2.29,2.31
5422683,600175.XSHG,2019-02-20,20533,16,857,1,26,0,2.32,2.3
3561197,600175.XSHG,2019-02-19,20517,3,856,2,26,0,2.24,2.33
3557626,600175.XSHG,2019-02-18,20514,11,854,0,26,0,2.16,2.23
3554055,600175.XSHG,2019-02-15,20503,11,854,-95,26,26,2.16,2.16
