,id,code,day,follower,new_follower,discussion,new_discussion,trade,new_trade
0,5602338,600175.XSHG,2019-04-30,28044,0,5958,0,305,0
1,5598737,600175.XSHG,2019-04-29,28044,694,5958,1391,305,209
2,5595136,600175.XSHG,2019-04-26,27350,0,4567,0,96,0
3,5591535,600175.XSHG,2019-04-25,27350,1061,4567,331,96,2
4,5587934,600175.XSHG,2019-04-24,26289,939,4236,458,94,0
5,5584333,600175.XSHG,2019-04-23,25350,3220,3778,168,94,2
6,5580397,600175.XSHG,2019-04-22,24705,2575,3775,165,92,0
7,5576796,600175.XSHG,2019-04-19,22130,710,3610,1,92,0
8,5573195,600175.XSHG,2019-04-18,21420,131,3609,-2,92,0
9,5569594,600175.XSHG,2019-04-17,21289,27,3611,0,92,0
10,5565993,600175.XSHG,2019-04-16,21262,8,3611,0,92,0
11,5562392,600175.XSHG,2019-04-15,21254,33,3611,9,92,0
12,5558791,600175.XSHG,2019-04-12,21221,0,3602,0,92,0
13,5555190,600175.XSHG,2019-04-11,21221,28,3602,74,92,0
14,5551589,600175.XSHG,2019-04-10,21193,3,3528,-37,92,0
15,5547988,600175.XSHG,2019-04-09,21190,15,3565,17,92,0
16,5544387,600175.XSHG,2019-04-08,21175,56,3548,4,92,0
17,5540786,600175.XSHG,2019-04-04,21119,3,3544,0,92,0
18,5537185,600175.XSHG,2019-04-03,21116,6,3544,0,92,0
19,5530014,600175.XSHG,2019-04-02,21110,2,3544,0,92,0
20,5522843,600175.XSHG,2019-04-01,21108,3,3544,1569,92,29
21,5526425,600175.XSHG,2019-03-29,21105,-4,1975,50,63,2
22,5519243,600175.XSHG,2019-03-28,21109,1,1925,3,61,0
23,5533596,600175.XSHG,2019-03-27,21108,-18,1922,761,61,22
24,5515646,600175.XSHG,2019-03-26,21126,0,1161,0,39,0
25,5512051,600175.XSHG,2019-03-25,21126,7,1161,204,39,3
26,5508456,600175.XSHG,2019-03-22,21119,0,957,0,36,0
27,5504862,600175.XSHG,2019-03-21,21119,0,957,0,36,0
28,5501278,600175.XSHG,2019-03-20,21119,54,957,41,36,1
29,5497707,600175.XSHG,2019-03-19,21065,51,916,46,35,7
30,5494136,600175.XSHG,2019-03-18,21014,26,870,-14,28,0
31,5490565,600175.XSHG,2019-03-15,20988,-9,884,-7,28,0
32,5486994,600175.XSHG,2019-03-14,20997,2,891,-98,28,0
33,5483423,600175.XSHG,2019-03-13,20995,19,989,94,28,1
34,5479852,600175.XSHG,2019-03-12,20976,31,895,-17,27,0
35,5476281,600175.XSHG,2019-03-11,20945,27,912,-1,27,0
36,5472710,600175.XSHG,2019-03-08,20918,25,913,1,27,0
37,5469139,600175.XSHG,2019-03-07,20893,81,912,9,27,0
38,5465568,600175.XSHG,2019-03-06,20812,51,903,-1,27,0
39,5461997,600175.XSHG,2019-03-05,20761,2,904,4,27,0
40,5458426,600175.XSHG,2019-03-04,20759,29,900,6,27,0
41,5429852,600175.XSHG,2019-03-01,20730,38,894,9,27,0
42,5426263,600175.XSHG,2019-02-28,20692,90,885,16,27,0
43,5447716,600175.XSHG,2019-02-27,20602,35,869,7,27,0
44,5444145,600175.XSHG,2019-02-26,20567,11,862,2,27,0
45,5440574,600175.XSHG,2019-02-25,20556,22,860,1,27,0
46,5437003,600175.XSHG,2019-02-22,20534,-1,859,0,27,1
47,5408393,600175.XSHG,2019-02-21,20535,2,859,2,26,0
48,5422683,600175.XSHG,2019-02-20,20533,16,857,1,26,0
49,3561197,600175.XSHG,2019-02-19,20517,3,856,2,26,0
